CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,stream
100.0,2200.0,2.84,79248.0,24080.0,6314.8,0.1,68112.0,66204.0,25.0,0
93.8,2200.0,2.91,80808.0,23880.0,7321.2,0.1,68112.0,66204.0,25.0,0
100.0,2199.865,2.98,81603.0,16720.0,9068.0,0.1,68112.0,66204.0,25.0,0
100.0,2200.0,1.4,12752.0,18400.0,2529.0,0.7,860888.0,858860.0,25.0,1
100.0,2200.0,0.68,35815.0,20920.0,2240.8,0.7,860888.0,858860.0,25.0,1
100.0,2200.0,0.65,25873.0,19040.0,1654.9,0.7,860888.0,858860.0,25.0,1
100.0,2199.865,1.14,62.0,16200.0,50.2,0.7,868908.0,864112.0,25.0,0
100.0,2200.0,1.39,121.0,11160.0,13.1,0.7,873204.0,867480.0,25.0,0
100.0,2200.0,1.33,2219.0,18080.0,337.7,0.1,112828.0,88420.0,25.0,0
100.0,2200.0,1.22,1447.0,17440.0,244.8,0.1,113244.0,88456.0,25.0,0
100.0,2200.0,1.29,1705.0,19000.0,277.7,0.1,113748.0,88536.0,25.0,0
100.0,2199.865,1.17,1168.0,18160.0,214.1,0.1,114228.0,88576.0,25.0,0
100.0,2200.0,1.33,3044.0,19680.0,482.1,0.1,114292.0,88592.0,25.0,0
100.0,2200.0,1.28,4620.0,19640.0,519.7,0.1,114484.0,88948.0,25.0,0
100.0,2199.865,1.78,25391.0,23600.0,4821.5,0.3,421296.0,419320.0,25.0,1
100.0,2199.865,1.45,2313.0,17080.0,70.3,0.1,165708.0,160812.0,25.0,0
100.0,2199.865,2.8,104.0,3320.0,9.5,0.1,202492.0,197612.0,25.0,0
100.0,2199.865,2.74,25.0,2880.0,1.5,0.2,204564.0,199460.0,25.0,0
100.0,2200.0,1.41,1059.0,10560.0,125.5,0.0,58136.0,51968.0,25.0,0
100.0,2200.0,0.56,1194.0,12680.0,115.7,0.1,197316.0,194436.0,25.0,0
100.0,2199.865,1.41,1.0,800.0,0.4,0.0,5476.0,3184.0,25.0,0
100.0,2200.0,1.41,3.0,1720.0,0.7,0.0,5752.0,3592.0,25.0,0
100.0,2200.0,1.41,2.0,1760.0,1.2,0.0,5752.0,3592.0,25.0,0
100.0,2199.865,1.41,2.0,1760.0,0.7,0.0,5752.0,3592.0,25.0,0
93.8,2200.0,2.27,148.0,6440.0,11.8,0.0,29984.0,27208.0,25.0,0
100.0,2200.0,2.26,147.0,5960.0,10.4,0.0,29984.0,27208.0,25.0,0
100.0,2200.0,1.36,107.0,5960.0,47.4,0.0,23828.0,20360.0,25.0,0
